Issue Type,Summary,Epic,Priority,Story Points,Sprint,Description
Story,"Project skeleton, models and seed data",Foundation,Highest,3,Sprint 1,"FastAPI app with SQLite, the five models, base template and stylesheet, and idempotent seed data."
Story,"Log in with administrator and tutor roles",Foundation,Highest,3,Sprint 1,"Signed session cookie login; administrators reach the admin pages, tutors only their own sessions."
Story,"Administrator maintains students",Students,Highest,3,Sprint 1,"Add, search, edit and deactivate students; name, year level and a family contact are required."
Story,"Administrator maintains tutors",Tutors,Highest,3,Sprint 1,"Add, edit and deactivate tutors with the subjects they teach; deactivated tutors cannot be booked."
Story,"Administrator maintains tutor availability windows",Tutors,Highest,3,Sprint 1,"Add, edit and remove windows (day, start, end); a tutor may have several windows on several days."
Story,"Book a session that fits the tutor's availability",Sessions,Highest,5,Sprint 1,"60 or 90 minute sessions; the session must fit entirely inside one availability window for that day, otherwise it is refused with a clear reason."
Story,"Move, cancel and mark sessions",Sessions,High,5,Sprint 1,"Move re-checks availability; cancelled sessions stay visible; attended and missed outcomes recorded; finished sessions cannot change."
Story,"Day and week schedule plus student history",Views,High,3,Sprint 1,"The centre sees a day or week and can filter by tutor; a student's past and future sessions are listed."
Story,"Tutor sees their own upcoming sessions",Views,High,3,Sprint 1,"A tutor lists only the sessions booked for them; an empty list rather than an error."
Story,"README, handover and backlog",Delivery,Highest,3,Sprint 1,"Clean-checkout instructions, handover document and the Jira backlog import."
Story,"Term unavailability for tutors",Backlog,Highest,5,Backlog,"Mark a tutor away for specific dates (e.g. Tomás's week 8 placement)."
Story,"Overlap detection",Backlog,High,5,Backlog,"Refuse two sessions for the same tutor or student at the same time."
Story,"Room allocation and clash detection",Backlog,High,8,Backlog,"Assign rooms and refuse two sessions in one room; includes Deb's quarter-hour turnaround."
Story,"Printable tutor week",Backlog,Medium,3,Backlog,"One printable page per tutor for the week."
Story,"Invoices and prepaid packs",Backlog,High,8,Backlog,"Monthly invoices and prepaid session packs; out of scope in the brief."
Story,"SMS reminders",Backlog,Medium,5,Backlog,"Night-before reminder to the family; out of scope in the brief."
Story,"Cancellation policy support",Backlog,Medium,3,Backlog,"Record in-time vs late cancellations and whether they are chargeable."
Story,"Audit trail",Backlog,Medium,5,Backlog,"Who moved, cancelled or marked a session."
Story,"Weekly session cap warning",Backlog,Low,2,Backlog,"Warn when a tutor is booked beyond their stated maximum."
Story,"Students not booked in three weeks",Backlog,Medium,3,Backlog,"A list of students who have not booked recently."
Story,"Parent portal and self-service booking",Backlog,Low,13,Backlog,"Out of scope in the brief."
Story,"Video session links",Backlog,Low,5,Backlog,"Out of scope in the brief."
Story,"Blue card expiry tracking",Backlog,Low,3,Backlog,"Out of scope in the brief."
Story,"Accounting export",Backlog,Low,3,Backlog,"Out of scope in the brief."
